Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
36001665,CEIP Plurilingüe de Tenorio,O Rio Tenorio,Cerdedo-Cotobade,Pontevedra,36120,886151217,CEIP,42.462650299072266,-8.5607328414917,Pública,Non,Si
36001690,CEIP Antonio Blanco Rodríguez,Rúa Lamela 6,Covelo,Pontevedra,36872,886110389,CEIP,42.23103713989258,-8.36544418334961,Pública,Non,Si
36001707,CEIP Plurilingüe Manuel Sieiro,Estrada GARCIA NEIRA 23,Crecente,Pontevedra,36420,886110194,CEIP,42.14744186401367,-8.223651885986328,Pública,Non,Si
36001975,CEIP Pío Cabanillas Gallas,Rúa O Castro,Dozón,Pontevedra,36518,986780472,CEIP,42.568321228027344,-8.04797077178955,Pública,Non,Si
36002220,CEIP Cabada Vázquez,Codeseda (San Xurxo),A Estrada,Pontevedra,36684,886151042,CEIP,42.61777877807617,-8.444960594177246,Pública,Non,Si
36002323,CPR Plurilingüe Nuestra Señora de Lourdes,Rúa do Cruceiro 32,A Estrada,Pontevedra,36680,986570874,CPR,42.691368103027344,-8.493277549743652,Privada,Si,Non
36002335,IES Manuel García Barros,Rúa da Cultura s/n,A Estrada,Pontevedra,36681,986590104,IES,42.69251251220703,-8.50390338897705,Pública,Non,Si
36002347,CEIP Pérez Viondi,Rúa PEREZ VIONDI 46,A Estrada,Pontevedra,36680,886151028,CEIP,42.68708801269531,-8.491588592529297,Pública,Non,Si
36002359,IES Plurilingüe Antón Losada Diéguez,Rúa da Cultura s/n,A Estrada,Pontevedra,36680,886151924,IES,42.69289016723633,-8.505111694335938,Pública,Non,Si
36002773,CEIP do Foxo,Rúa Foxo s/n,A Estrada,Pontevedra,36686,886151046,CEIP,42.70444869995117,-8.40884780883789,Pública,Non,Si
36003111,CEIP Nosa Señora das Dores,Rúa MALEITAS s/n,Forcarei,Pontevedra,36550,886151968,CEIP,42.585060119628906,-8.355131149291992,Pública,Non,Si
36003170,CEIP de Soutelo de Montes,Soutelo de Montes,Forcarei,Pontevedra,36560,886151237,CEIP,42.534942626953125,-8.295003890991211,Pública,Non,Si
36003388,CEIP Doutor Suárez,Rúa das Escolas 7,Fornelos de Montes,Pontevedra,36847,886151241,CEIP,42.34119415283203,-8.452594757080078,Pública,Non,Si
36003480,CEIP de Agolada,Avenida do IRYDA (Agolada) 20,Agolada,Pontevedra,36520,886151078,CEIP,42.76176452636719,-8.022476196289062,Pública,Non,Si
36003662,CEIP Plurilingüe Chano Piñeiro,Rúa Pousa de Fontan,Gondomar,Pontevedra,36388,886110233,CEIP,42.11262893676758,-8.768635749816895,Pública,Non,Si
